country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,6,0.565,0,1.44
Albania,6,5.56,0,1.1
Algeria,6,2.987,0.319,2.09
Andorra,4,181.195,25.885,0.9
Angola,7,0.03,0,0
Antigua and Barbuda,8,0,0,0
Argentina,7,0,0.022,1.53
Armenia,8,13.161,0.337,1.34
Australia,3,11.882,0.078,1.11
Austria,4,58.958,1.999,0.99
Azerbaijan,7,6.016,0,1.69
Bahamas,8,17.8,2.543,0
Bahrain,3,1.175,0,1.33
Bangladesh,2,0.018,0.006,0
Barbados,6,0,0,0
Belarus,2,1.164,0.106,2.31
Belgium,5,102.592,10.613,1.61
Belize,6,0,0,0
Benin,6,0.33,0,0
Bhutan,6,0,0,0
Bolivia,6,0.685,0.086,1.27
Bosnia and Herzegovina,7,11.887,0,1.17
Botswana,9,0,0,0
Brazil,6,5.264,0.183,1.97
Brunei,9,4.572,0,0.21
Bulgaria,6,3.31,0.288,1.13
Burkina Faso,6,1.005,0.096,0.96
Burundi,8,0,0,0
Cambodia,9,0,0,0.13
Cameroon,9,1.507,0,1.3
Canada,0,27.37,0.212,1.86
Cape Verde,6,0,0,0
Central African Republic,6,0,0,0
Chad,9,0,0,0
Chile,0,15.327,0.209,1.76
China,6,0.057,0.005,0.87
Colombia,7,3.125,0.02,1.65
Comoros,8,0,0,0
Congo,7,0,0,0
Costa Rica,6,5.497,0,1
Cote d'Ivoire,6,0.417,0,1.29
Croatia,0,23.385,0,1.26
Cuba,3,2.295,0,1.33
Cyprus,0,66.218,1.142,1.28
Czechia,3,18.676,0.747,1.32
Democratic Republic of Congo,6,0.123,0.011,0
Denmark,4,43.334,2.417,1.31
Djibouti,7,3.036,0,0
Dominica,6,0,0,0
Dominican Republic,7,16.132,0.553,1.73
Ecuador,0,28.793,1.02,1.84
Egypt,6,0.674,0.059,1.55
El Salvador,7,0,0,0
Equatorial Guinea,8,2.138,0,0
Eritrea,7,0,0,0
Estonia,4,25.631,0.754,1.24
Eswatini,6,0,0,0
Ethiopia,3,0.026,0,0
Fiji,7,0,0,0
Finland,3,5.053,0,1.32
France,5,75.406,13.512,1.65
Gabon,6,0.899,0,0
Gambia,6,0,0,0
Georgia,7,1.755,0,0.86
Germany,0,72.377,1.731,1.36
Ghana,3,1.094,0,1.38
Greece,7,9.69,0.096,1.13
Grenada,8,0,0,0
Guatemala,7,0.056,0,0
Guinea,6,0.609,0,0
Guinea-Bissau,8,0.508,0,0
Guyana,9,8.9,0,0
Haiti,6,0.088,0,0
Honduras,7,3.13,0.303,1.26
Hungary,3,3.416,0.414,1.42
Iceland,4,249.084,0,1.09
India,7,0.436,0.017,2.13
Indonesia,9,0.545,0.077,1.51
International,8,0,0,0
Iran,0,35.574,1.643,1.29
Iraq,7,0.845,0.05,1.36
Ireland,4,42.934,2.835,1.67
Israel,0,80.411,0.924,1.49
Italy,5,79.091,12.024,0.98
