country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,9,0,0,1.567
Albania,8,0,0,106.331
Algeria,5,0,0,6.226
Andorra,7,0,0,2937.941
Angola,5,0,0,7.515
Antigua and Barbuda,9,0,0,0
Argentina,3,0,0,347.776
Armenia,7,0,0,834.899
Australia,9,0,0,0.745
Austria,2,99.929,17.543,285.464
Azerbaijan,8,0,0,79.198
Bahamas,3,0,0,338.209
Bahrain,6,0,0,213.331
Bangladesh,5,0,0,9.63
Barbados,5,0,0,6.96
Belarus,8,0,0,83.286
Belgium,7,350.055,54.618,1515.84
Belize,8,0,0,138.323
Benin,9,0,0,0
Bhutan,9,0,0,0
Bolivia,1,0,0,14.306
Bosnia and Herzegovina,3,0,0,359.362
Botswana,9,0,0,0
Brazil,6,0,0,141.259
Brunei,9,0,0,0
Bulgaria,2,271.428,18.277,228.684
Burkina Faso,9,0,0,0.909
Burundi,9,0,0,0.168
Cambodia,9,0,0,0.06
Cameroon,9,0,0,0
Canada,8,0,0,76.89
Cape Verde,8,0,0,136.694
Central African Republic,9,0,0,0
Chad,9,0,0,0.791
Chile,8,0,0,92.853
China,9,0,0,0.024
Colombia,6,0,0,168.406
Comoros,9,0,0,0
Congo,9,0,0,0
Costa Rica,6,0,0,237.529
Cote d'Ivoire,9,0,0,0.569
Croatia,2,174.41,0,454.782
Cuba,5,0,0,5.121
Cyprus,6,0,0,182.669
Czechia,7,496.219,72.089,1424.785
Democratic Republic of Congo,9,0,0,0.279
Denmark,6,21.581,3.108,148.303
Djibouti,5,0,0,6.073
Dominica,4,0,0,55.563
Dominican Republic,9,0,0,0
Ecuador,8,0,0,103.1
Egypt,9,0,0,1.661
El Salvador,0,0,0,24.514
Equatorial Guinea,9,0,0,0
Eritrea,9,0,0,1.128
Estonia,4,21.108,2.262,39.954
Eswatini,1,0,0,14.653
Ethiopia,5,0,0,4.662
Fiji,9,0,0,0
Finland,4,12.634,1.985,39.526
France,2,229.572,37.259,653.68
Gabon,5,0,0,8.087
Gambia,9,0,0,0
Georgia,3,0,0,440.943
Germany,6,0,0,160.842
Ghana,9,0,0,2.027
Greece,8,0,0,80.687
Grenada,9,0,0,0
Guatemala,4,0,0,40.747
Guinea,9,0,0,0
Guinea-Bissau,9,0,0,0
Guyana,8,0,0,105.523
