country,cluster,new_tests_per_thousand,tests_per_case,stringency_index
Afghanistan,2,0,0,27.78
Albania,0,0,0,8.33
Algeria,0,0,0,5.56
Andorra,5,0,0,0
Angola,0,0,0,8.33
Antigua and Barbuda,5,0,0,0
Argentina,0,0.001,5.3,11.11
Armenia,5,0,0,0
Australia,2,0,0,19.44
Austria,0,0.022,27.9,11.11
Azerbaijan,2,0,0,30.56
Bahamas,5,0,0,0
Bahrain,2,0,0,30.56
Bangladesh,0,0,0,13.89
Barbados,2,0,0,16.67
Belarus,5,0,0,0
Belgium,0,0.042,22.2,13.89
Belize,0,0,0,11.11
Benin,0,0,0,13.89
Bhutan,2,0,0,31.48
Bolivia,4,0,0,62.04
Bosnia and Herzegovina,0,0,0,11.11
Botswana,0,0,0,13.89
Brazil,0,0,0,11.11
Brunei,2,0,0,19.44
Bulgaria,2,0,0,21.3
Burkina Faso,5,0,0,0
Burundi,0,0,0,11.11
Cambodia,2,0,0,19.44
Cameroon,5,0,0,0
Canada,5,0,0,2.78
Cape Verde,2,0,0,19.44
Central African Republic,5,0,0,0
Chad,2,0,0,16.67
Chile,5,0,0,0
China,4,0,0,81.02
Colombia,0,0,0,12.04
Comoros,5,0,0,0
Congo,0,0,0,5.56
Costa Rica,0,0,0,11.11
Cote d'Ivoire,5,0,0,0
Croatia,0,0.002,0,13.89
Cuba,0,0,0,13.89
Cyprus,0,0,0,11.11
Czechia,2,0.013,25.5,19.44
Democratic Republic of Congo,0,0,0,5.56
Denmark,2,0.04,24.4,25.93
Djibouti,5,0,0,0
Dominica,5,0,0,0
Dominican Republic,0,0,0,11.11
Ecuador,0,0,0,8.33
Egypt,5,0,0,0
El Salvador,2,0,0,19.44
Equatorial Guinea,5,0,0,0
Eritrea,5,0,0,0
Estonia,5,0.015,27.2,0
Eswatini,0,0,0,13.89
Ethiopia,5,0,0,2.78
Fiji,2,0,0,19.44
Finland,2,0.003,22.2,19.44
France,4,0,0,43.98
Gabon,0,0,0,13.89
Gambia,0,0,0,11.11
Georgia,4,0,0,41.67
Germany,3,0,32.3,25
Ghana,5,0,0,2.78
Greece,2,0,0,28.7
Grenada,5,0,0,0
