country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,5,0.565,1.44,0
Albania,1,5.56,1.1,0
Algeria,1,2.987,2.09,0
Andorra,4,181.195,0.9,0
Angola,1,0.03,0,0
Antigua and Barbuda,2,0,0,0
Argentina,1,0,1.53,0
Armenia,2,13.161,1.34,0
Australia,0,11.882,1.11,0
Austria,4,58.958,0.99,23.872
Azerbaijan,1,6.016,1.69,0
Bahamas,2,17.8,0,0
Bahrain,0,1.175,1.33,0
Bangladesh,1,0.018,0,0
Barbados,0,0,0,0
Belarus,2,1.164,2.31,0
Belgium,4,102.592,1.61,98.709
Belize,0,0,0,0
Benin,0,0.33,0,0
Bhutan,1,0,0,0
Bolivia,1,0.685,1.27,0
Bosnia and Herzegovina,1,11.887,1.17,0
Botswana,5,0,0,0
Brazil,0,5.264,1.97,0
Brunei,5,4.572,0.21,0
Bulgaria,0,3.31,1.13,0
Burkina Faso,1,1.005,0.96,0
Burundi,2,0,0,0
Cambodia,5,0,0.13,0
Cameroon,5,1.507,1.3,0
Canada,0,27.37,1.86,0
Cape Verde,0,0,0,0
Central African Republic,5,0,0,0
Chad,3,0,0,0
Chile,0,15.327,1.76,0
China,0,0.057,0.87,0
Colombia,1,3.125,1.65,0
Comoros,2,0,0,0
Congo,1,0,0,0
Costa Rica,0,5.497,1,0
Cote d'Ivoire,0,0.417,1.29,0
Croatia,1,23.385,1.26,0
Cuba,5,2.295,1.33,0
Cyprus,4,66.218,1.28,0
Czechia,0,18.676,1.32,7.003
Democratic Republic of Congo,0,0.123,0,0
Denmark,4,43.334,1.31,25.206
Djibouti,1,3.036,0,0
Dominica,0,0,0,0
Dominican Republic,1,16.132,1.73,0
Ecuador,1,28.793,1.84,0
Egypt,1,0.674,1.55,0
El Salvador,1,0,0,0
Equatorial Guinea,2,2.138,0,0
Eritrea,1,0,0,0
Estonia,0,25.631,1.24,12.061
Eswatini,1,0,0,0
Ethiopia,5,0.026,0,0
Fiji,1,0,0,0
Finland,5,5.053,1.32,11.19
France,4,75.406,1.65,91.002
Gabon,5,0.899,0,0
Gambia,0,0,0,0
