country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,2,11.817,0.87,0
Albania,7,27.104,1.24,0
Algeria,3,4.492,1.47,0
Andorra,4,0,0.36,0
Angola,2,0.456,1.13,0
Antigua and Barbuda,0,398.252,0,0
Argentina,7,57.66,1.28,0
Armenia,0,260.189,1.08,0
Australia,6,1.451,1.77,0
Austria,6,3.109,1.27,1.221
Azerbaijan,7,53.949,1.23,0
Bahamas,8,0,0.07,0
Bahrain,0,300.309,1.07,0
Bangladesh,7,23.96,1.08,0
Barbados,3,0,0,0
Belarus,1,46.247,0.75,0
Belgium,6,9.405,0.98,3.279
Belize,3,0,0,0
Benin,4,9.486,0.97,0
Bhutan,2,0,0,0
Bolivia,5,87.038,1.19,0
Bosnia and Herzegovina,7,36.576,1.18,0
Botswana,6,0,0,0
Brazil,0,185.75,1.14,0
Brunei,6,0,0,0
Bulgaria,4,23.89,1.3,2.303
Burkina Faso,6,0.718,0.97,0
Burundi,8,0,0.64,0
Cambodia,4,0,0.16,0
Cameroon,6,0,1.04,0
Canada,3,9.962,0.84,0
Cape Verde,2,7.194,1.1,0
Central African Republic,7,30.022,0.89,0
Chad,3,0.183,0.76,0
Chile,0,243.144,0.89,0
China,2,0.019,1.04,0
Colombia,5,68.51,1.27,0
Comoros,8,8.05,0.72,0
Congo,3,0,0.72,0
Costa Rica,7,33.176,1.49,0
Cote d'Ivoire,3,6.445,1.11,0
Croatia,3,23.141,3.15,0
Cuba,2,0.177,0.6,0
Cyprus,6,1.142,0.94,0
Czechia,4,8.684,1.52,1.121
Democratic Republic of Congo,2,2.211,1.08,0
Denmark,6,3.626,0.98,1.554
Djibouti,3,5.061,0.62,0
Dominica,3,0,0,0
Dominican Republic,7,47.014,1.19,0
Ecuador,5,85.756,1.22,0
Egypt,3,15.332,0.99,0
El Salvador,7,28.676,1.15,0
Equatorial Guinea,0,240.202,0.26,0
Eritrea,2,0,0.43,0
Estonia,4,0.754,0.59,0.754
Eswatini,2,13.791,1.23,0
Ethiopia,2,1.226,0.95,0
Fiji,3,0,0,0
Finland,4,0.902,0.82,0
France,6,0,1.08,9.544
Gabon,7,58.857,1.08,0
Gambia,3,0.414,0,0
Georgia,6,0.752,0.66,0
Germany,3,5.968,1.06,0
Ghana,6,14.804,1.18,0
Greece,6,1.055,1.14,0
Grenada,8,0,0,0
Guatemala,7,44.654,1.22,0
Guinea,3,0,1.1,0
Guinea-Bissau,8,0,0.78,0
Guyana,2,7.628,0.84,0
Haiti,2,9.998,1,0
Honduras,5,80.266,1.21,0
Hungary,6,0.932,0.91,0
Iceland,4,2.93,1.28,0
India,2,12.533,1.23,0
Indonesia,3,4.307,1.12,0
International,8,0,0,0
Iran,4,30.895,1.04,0
Iraq,7,60.588,1.29,0
Ireland,3,1.823,0.79,2.43
Israel,7,59.615,1.56,0
Italy,6,4.896,1.01,1.704
Jamaica,3,2.026,1.12,0
Japan,4,0.727,1.42,0
Jordan,6,1.47,0.92,0
Kazakhstan,7,24.765,1.1,0
Kenya,2,3.31,1.24,0
Kosovo,7,49.152,1.35,0
Kuwait,0,212.852,1.19,0
Kyrgyzstan,7,38.319,1.55,0
Laos,4,0,0,0
Latvia,6,0,1,0
Lebanon,2,2.637,1.2,0
Lesotho,6,0,0,0
Liberia,2,3.757,1.01,0
Libya,2,4.075,1.24,0
Liechtenstein,8,0,0,0
Lithuania,4,0.735,0.86,0
Luxembourg,4,17.573,1.71,1.598
Madagascar,3,1.517,1.37,0
Malawi,6,0.993,1.28,0
Malaysia,6,0.124,0.57,0
Maldives,1,29.6,1.03,0
Mali,6,1.679,1.03,0
Malta,8,6.794,0.62,2.265
Marshall Islands,8,0,0,0
Mauritania,7,47.315,1.1,0
Mauritius,4,0,0.11,0
Mexico,7,47.343,1.11,0
Moldova,5,92.961,1.02,0
Monaco,8,0,0.13,0
Mongolia,3,0.915,0.66,0
Montenegro,1,39.805,2.39,0
Morocco,3,11.677,1.5,0
Mozambique,2,0.832,1.11,0
Myanmar,2,0,0.71,0
Namibia,6,10.233,0,0
Nepal,2,14.895,1.12,0
Netherlands,3,6.42,0.75,3.327
New Zealand,4,0.207,1.38,0
Nicaragua,4,0,0.24,0
Niger,4,0.207,0.74,0
Nigeria,2,2.882,1.09,0
North Macedonia,1,71.998,1.06,0
Norway,4,0,1.02,0
Oman,0,267.496,1.13,0
Pakistan,3,12.563,0.92,0
Palestine,2,10.585,2.06,0
Panama,0,233.385,1.18,0
Papua New Guinea,6,0,0,0
Paraguay,2,5.748,1.67,0
Peru,5,118.677,1.02,0
Philippines,2,7.063,1.22,0
Poland,6,7.874,0.88,0
Portugal,7,30.5,1.04,6.571
Qatar,0,367.92,0.86,0
Romania,4,23.911,1.2,10.344
Russia,7,48.686,0.91,0
Rwanda,2,1.544,1.24,0
Saint Kitts and Nevis,8,0,0,0
Saint Lucia,8,0,0,0
Saint Vincent and the Grenadines,8,0,0,0
Samoa,8,0,0,0
San Marino,4,0,0.31,0
Sao Tome and Principe,8,4.563,0.48,0
Saudi Arabia,5,96.858,1.03,0
Senegal,6,6.211,1.01,0
Serbia,4,20.133,1.49,0
Seychelles,4,0,0,0
Sierra Leone,6,0,0.97,0
Singapore,6,19.315,0.78,0
Slovakia,4,4.213,1.48,0
Slovenia,4,2.886,1.74,0.962
Solomon Islands,4,0,0,0
Somalia,6,2.706,0.78,0
South Africa,5,110.928,1.41,0
South Korea,6,0.761,0.96,0
South Sudan,2,0,0.78,0
Spain,4,8.555,1.09,0
Sri Lanka,6,0.42,0.92,0
Sudan,2,2.167,1.05,0
Suriname,7,27.274,1.18,0
Sweden,5,126.841,1.02,0
Switzerland,4,6.008,1.41,0
Syria,3,0.629,1.27,0
Taiwan,4,0.042,0.3,0
Tajikistan,3,6.396,0.89,0
Tanzania,4,0,0,0
Thailand,6,0,0.96,0
Timor,4,0,0,0
Togo,6,0.604,1.04,0
Trinidad and Tobago,6,0,0.04,0
Tunisia,4,0.169,1,0
Turkey,3,17.287,1.11,0
Uganda,2,0.35,0.95,0
Ukraine,4,22.911,1.15,0
United Arab Emirates,7,43.477,0.97,0
United Kingdom,3,10.267,0.78,4.066
United States,5,121.92,1.29,16.072
Uruguay,6,1.439,1.08,0
Uzbekistan,3,5.587,1.31,0
Vanuatu,3,0,0,0
Vatican,8,0,0,0
Venezuela,2,6.928,1.35,0
Vietnam,6,0,0.56,0
Yemen,6,2.045,1,0
Zambia,6,0.435,0.9,0
Zimbabwe,3,1.413,1.19,0
