location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,39422,81,26.143,1468,4,1.429,1012.681,2.081,0.672,37.71,0.103,0.037,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,14410,144,145.571,400,4,2.857,5007.297,50.038,50.584,138.995,1.39,0.993,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.63,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,52270,134,151,1768,8,7,1191.99,3.056,3.443,40.318,0.182,0.16,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,2370,260,57.714,53,0,0,30673.656,3365.042,746.965,685.951,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,5530,128,104.714,199,4,3.286,168.258,3.895,3.186,6.055,0.122,0.1,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,107,0,0.857,3,0,0,1092.639,0,8.753,30.635,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,809728,11242,12370.857,21468,450,765,17916.01,248.74,273.717,475,9.957,16.926,1.05,0,0,0,0,0,0,0,0,24683,2033784,44.999,0.546,25283,0.559,0.489,2,87.96,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,52677,181,443.286,984,7,3.857,17776.861,61.082,149.595,332.07,2.362,1.302,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,27173,25,16.857,895,1,1.857,1065.613,0.98,0.661,35.098,0.039,0.073,0.86,0,0,0,0,0,0,0,0,0,0,0,0,32598,1.278,0.001,1933.8,68.06,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,48896,750,780.571,818,5,4,5429.028,83.274,86.669,90.824,0.555,0.444,1.19,101,11.214,387,42.969,0,0,0,0,11895,1698268,188.562,1.321,18325,2.035,0.043,23.5,40.74,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
Azerbaijan,40788,97,103.857,598,2,1.429,4022.813,9.567,10.243,58.979,0.197,0.141,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.98,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
Bahamas,4452,43,87.714,96,0,1,11321.1,109.346,223.051,244.121,0,2.543,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
