location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,39145,49,41.429,1448,1,1.429,1005.566,1.259,1.064,37.197,0.026,0.037,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,12787,121,138.714,370,3,3.857,4443.325,42.046,48.202,128.57,1.042,1.34,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.63,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,50400,186,204.857,1698,9,7.571,1149.346,4.242,4.672,38.722,0.205,0.173,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,1753,72,38.571,53,0,0,22688.151,931.858,499.21,685.951,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,4363,127,98.286,159,4,2.286,132.75,3.864,2.99,4.838,0.122,0.07,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,97,1,0.286,3,0,0,990.524,10.212,2.918,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,664799,12625,10826.714,14376,424,322.857,14709.317,279.34,239.551,318.083,9.381,7.144,1.06,0,0,0,0,0,0,0,0,26382,1745826,38.628,0.584,22588,0.5,0.479,2.1,87.96,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,47877,210,214.429,942,4,2.714,16157.01,70.869,72.363,317.896,1.35,0.916,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,26980,8,23.857,861,2,4.143,1058.044,0.314,0.936,33.765,0.078,0.162,0.56,0,0,0,0,0,0,0,0,42410,7393693,289.95,1.663,38473,1.509,0.001,1612.7,75.46,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,39984,681,701.571,777,6,2.714,4439.51,75.613,77.897,86.272,0.666,0.301,1.12,77,8.549,336,37.307,0,0,0,0,16617,1489264,165.356,1.845,15632,1.736,0.045,22.3,37.04,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
