location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,30,1,2.143,0,0,0,0.771,0.026,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,76,6,5.429,2,0,0.143,26.409,2.085,1.886,0.695,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.48,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,139,49,14.571,15,4,1.714,3.17,1.117,0.332,0.342,0.091,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.89,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,88,13,12.429,0,0,0,1138.937,168.252,160.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.48,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,2,1,0.286,0,0,0,0.061,0.03,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,1,0,0,0,0,0,10.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,158,30,17.714,4,1,0.286,3.496,0.664,0.392,0.089,0.022,0.006,1.82,0,0,0,0,0,0,0,0,296,1502,0.033,0.007,164,0.004,0.108,9.3,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,160,24,20.286,0,0,0,53.995,8.099,6.846,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,1071,280,117.286,7,0,0.571,42,10.98,4.599,0.275,0,0.022,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.22,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,2814,426,308.429,8,2,1,312.444,47.3,34.245,0.888,0.222,0.111,2.29,0,0,0,0,0,0,0,0,2932,18545,2.059,0.326,1583,0.176,0.195,5.1,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
Azerbaijan,53,9,5.429,1,0,0,5.227,0.888,0.535,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.11,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
Bahamas,4,1,0.571,0,0,0,10.172,2.543,1.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
Bahrain,305,20,13.571,1,0,0.143,179.245,11.754,7.976,0.588,0,0.084,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1505,0.884,0.009,110.9,66.67,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,0,2,77.29,0.846
Bangladesh,25,5,3.143,2,1,0.286,0.152,0.03,0.019,0.012,0.006,0.002,0,0,0,0,0,0,0,0,0,65,564,0.003,0,42,0,0.075,13.4,81.48,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
Barbados,6,1,0.857,0,0,0,20.879,3.48,2.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,287371,664.463,39.8,14.952,9.473,16978.068,0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
Belarus,76,7,7,0,0,0,8.043,0.741,0.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0.104,0.007,139.9,8.33,9449321,46.858,40.3,14.799,9.788,17167.967,0,443.129,5.18,10.5,46.1,0,11,74.79,0.808
Belgium,2815,558,303.714,67,30,9,242.89,48.147,26.206,5.781,2.589,0.777,2.26,290,25.022,1384,119.417,0,0,0,0,2276,30064,2.594,0.196,2417,0.209,0.126,8,81.48,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,0,5.64,81.63,0.916
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.63,397621,16.426,25,3.853,2.279,7824.362,0,176.957,17.11,0,0,90.083,1.3,74.62,0.708
