location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,40287,87,59.571,1499,5,2.571,1034.902,2.235,1.53,38.507,0.128,0.066,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,17350,295,254.286,454,3,4.286,6028.911,102.509,88.361,157.759,1.042,1.489,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.63,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,54616,214,184.429,1865,9,8,1245.489,4.88,4.206,42.53,0.205,0.182,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,3623,246,89.714,62,3,0.714,46890.571,3183.848,1161.125,802.433,38.827,9.245,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.41,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,7829,207,191.571,248,1,4.143,238.208,6.298,5.829,7.546,0.03,0.126,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,119,0,1.143,3,0,0,1215.178,0,11.67,30.635,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,1002662,12982,14133.143,26716,449,361.429,22184.86,287.239,312.709,591.117,9.935,7.997,1.01,0,0,0,0,0,0,0,0,30229,2411167,53.349,0.669,28163,0.623,0.502,2,82.87,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,65460,766,1234.143,1091,10,9.286,22090.729,258.501,416.485,368.179,3.375,3.134,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,27405,6,13.571,905,0,0.857,1074.711,0.235,0.532,35.49,0,0.034,0.93,0,0,0,0,0,0,0,0,27338,8303374,325.624,1.072,38259,1.5,0,2819.2,65.28,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,65927,1121,1375.571,904,11,7,7320.017,124.467,152.733,100.373,1.221,0.777,1.36,145,16.1,654,72.615,0,0,0,0,14550,1952578,216.799,1.616,18521,2.056,0.074,13.5,58.8,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
