location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,31228,271,297.286,740,12,20.429,802.192,6.962,7.637,19.009,0.308,0.525,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,2466,64,67.286,58,3,2,856.905,22.239,23.381,20.154,1.042,0.695,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.52,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,13571,298,235.857,905,8,7.571,309.48,6.796,5.379,20.638,0.182,0.173,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.74,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,855,0,0,52,0,0,11065.812,0,0,673.008,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.59,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,276,9,12.857,11,0,0.143,8.398,0.274,0.391,0.335,0,0.004,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,69,0,6.143,3,0,0,704.599,0,62.728,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,62268,2335,2476.714,1280,48,33.857,1377.739,51.664,54.8,28.321,1.062,0.749,1.24,0,0,0,0,0,0,0,0,7775,354836,7.851,0.172,8480,0.188,0.292,3.4,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,25127,482,648.429,433,7,10.429,8479.587,162.66,218.825,146.124,2.362,3.519,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,7834,70,48.857,104,0,0.286,307.217,2.745,1.916,4.078,0,0.011,1.94,0,0,0,0,0,0,0,0,36520,2415695,94.734,1.432,43978,1.725,0.001,900.1,52.31,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,17723,69,49,703,1,1.857,1967.823,7.661,5.441,78.056,0.111,0.206,1.47,8,0.888,66,7.328,0,0,0,0,3855,606375,67.327,0.428,5796,0.644,0.008,118.3,47.22,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
