location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,8146,492,417,188,10,8,209.256,12.639,10.712,4.829,0.257,0.206,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,964,15,12,31,0,0,334.978,5.212,4.17,10.772,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,7542,165,184.143,568,7,6.571,171.991,3.763,4.199,12.953,0.16,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.85,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,762,1,0.286,51,0,0.286,9862.163,12.942,3.698,660.066,0,3.698,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,52,0,1,3,0,0.143,1.582,0,0.03,0.091,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.48,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,25,0,0,3,0,0,255.29,0,0,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,9283,474,343.429,403,10,10.571,205.395,10.488,7.599,8.917,0.221,0.234,1.4,0,0,0,0,0,0,0,0,4939,115845,2.563,0.109,3720,0.082,0.092,10.8,90.74,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,5271,230,221.857,67,3,2.714,1778.8,77.618,74.87,22.61,1.012,0.916,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,7081,9,13.143,100,0,0.286,277.688,0.353,0.515,3.922,0,0.011,0.77,0,0,0,0,0,0,0,0,25697,1111567,43.591,1.008,28935,1.135,0,2201.6,67.13,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,16353,32,50.857,633,1,1.286,1815.709,3.553,5.647,70.283,0.111,0.143,0.86,37,4.108,137,15.211,0,0,0,0,7157,379592,42.147,0.795,6191,0.687,0.008,121.7,59.26,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
Azerbaijan,3631,113,124.714,43,2,1.143,358.116,11.145,12.3,4.241,0.197,0.113,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.78,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
Bahamas,97,1,0.429,11,0,0,246.664,2.543,1.09,27.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
Bahrain,7888,356,296,12,0,0.286,4635.683,209.217,173.956,7.052,0,0.168,1.22,0,0,0,0,0,0,0,0,7428,255633,150.232,4.365,7152,4.203,0.041,24.2,75,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,0,2,77.29,0.846
Bangladesh,26738,1617,1273.714,386,16,16.714,162.354,9.818,7.734,2.344,0.097,0.101,1.38,0,0,0,0,0,0,0,0,10260,203905,1.238,0.062,8481,0.051,0.15,6.7,93.52,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
Barbados,90,0,0.714,7,0,0,313.184,0,2.486,24.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.48,287371,664.463,39.8,14.952,9.473,16978.068,0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
Belarus,32426,918,943,179,4,4.714,3431.569,97.15,99.796,18.943,0.423,0.499,1.04,0,0,0,0,0,0,0,0,0,387673,41.027,0,13042,1.38,0.072,13.8,16.67,9449321,46.858,40.3,14.799,9.788,17167.967,0,443.129,5.18,10.5,46.1,0,11,74.79,0.808
Belgium,55983,192,286,9150,42,43.857,4830.445,16.567,24.677,789.5,3.624,3.784,0.71,277,23.901,1448,124.939,0,0,0,0,18759,773961,66.781,1.619,15978,1.379,0.018,55.9,75,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,0,5.64,81.63,0.916
Belize,18,0,0,2,0,0,45.269,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.19,397621,16.426,25,3.853,2.279,7824.362,0,176.957,17.11,0,0,90.083,1.3,74.62,0.708
Benin,130,0,-28.143,2,0,0,10.723,0,-2.321,0.165,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.41,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
Bhutan,21,0,0.857,0,0,0,27.216,0,1.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,0,0,79.807,1.7,71.78,0.612
Bolivia,4919,438,253,199,10,8.143,421.399,37.522,21.674,17.048,0.857,0.698,1.39,0,0,0,0,0,0,0,0,1006,18566,1.591,0.086,709,0.061,0.357,2.8,84.26,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,0,0,25.383,1.1,71.51,0.693
