location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,5640,413,296.571,136,4,4.286,144.882,10.609,7.618,3.494,0.103,0.11,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,898,18,8,31,0,0,312.044,6.255,2.78,10.772,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.81,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,6442,189,180,529,7,6.571,146.906,4.31,4.105,12.064,0.16,0.15,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.85,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,761,1,1.286,49,0,0.286,9849.22,12.942,16.64,634.181,0,3.698,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,48,3,1.714,2,0,0,1.46,0.091,0.052,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,25,0,0,3,0,0,255.29,0,0,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,7134,255,251.857,353,24,10.143,157.847,5.642,5.573,7.81,0.531,0.224,1.36,0,0,0,0,0,0,0,0,3510,93317,2.065,0.078,3015,0.067,0.084,12,90.74,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,3860,142,139.429,49,1,1,1302.631,47.921,47.053,16.536,0.337,0.337,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,7019,30,15.143,98,0,0.143,275.256,1.176,0.594,3.843,0,0.006,0.82,0,0,0,0,0,0,0,0,34455,943480,36.999,1.351,31562,1.238,0,2084.3,69.44,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,16058,61,43.714,626,2,2.429,1782.954,6.773,4.854,69.506,0.222,0.27,0.98,54,5.996,180,19.986,0,0,0,0,8354,344606,38.262,0.928,6673,0.741,0.007,152.7,59.26,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
Azerbaijan,2879,121,96.429,35,0,1,283.948,11.934,9.51,3.452,0,0.099,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.19,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
Bahamas,96,2,0.571,11,0,0,244.121,5.086,1.453,27.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
Bahrain,6198,382,285.571,10,0,0.286,3642.491,224.497,167.827,5.877,0,0.168,1.25,0,0,0,0,0,0,0,0,5557,211127,124.077,3.266,6393,3.757,0.045,22.4,75,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,0,2,77.29,0.846
Bangladesh,18863,1041,919.714,283,14,12,114.537,6.321,5.585,1.718,0.085,0.073,1.36,0,0,0,0,0,0,0,0,7392,151930,0.923,0.045,6631,0.04,0.139,7.2,89.81,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
Barbados,85,0,0.429,7,0,0,295.785,0,1.491,24.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.48,287371,664.463,39.8,14.952,9.473,16978.068,0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
Belarus,26772,947,943.429,151,5,5,2833.219,100.219,99.841,15.98,0.529,0.529,1.09,0,0,0,0,0,0,0,0,11776,308156,32.611,1.246,11241,1.19,0.084,11.9,16.67,9449321,46.858,40.3,14.799,9.788,17167.967,0,443.129,5.18,10.5,46.1,0,11,74.79,0.808
Belgium,54288,307,409.714,8903,60,69.714,4684.193,26.489,35.352,768.188,5.177,6.015,0.71,380,32.788,1862,160.661,0,0,0,0,20263,682379,58.878,1.748,19167,1.654,0.021,46.8,75,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,0,5.64,81.63,0.916
Belize,18,0,0,2,0,0,45.269,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.85,397621,16.426,25,3.853,2.279,7824.362,0,176.957,17.11,0,0,90.083,1.3,74.62,0.708
Benin,339,12,28.429,2,0,0,27.963,0.99,2.345,0.165,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.41,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
Bhutan,20,5,1.857,0,0,0,25.92,6.48,2.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,0,0,79.807,1.7,71.78,0.612
Bolivia,3372,224,184.429,152,10,7.143,288.871,19.19,15.8,13.021,0.857,0.612,1.41,0,0,0,0,0,0,0,0,554,14159,1.213,0.047,580,0.05,0.318,3.1,84.26,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,0,0,25.383,1.1,71.51,0.693
Bosnia and Herzegovina,2218,37,27.286,122,2,4.571,676.052,11.278,8.317,37.186,0.61,1.393,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
Botswana,24,0,0.143,1,0,0,10.206,0,0.061,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7,2351625,4.044,25.8,3.941,2.242,15807.374,0,237.372,4.81,5.7,34.4,0,1.8,69.59,0.717
Brazil,203165,13028,9627.429,13999,759,687,955.803,61.291,45.293,65.859,3.571,3.232,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.02,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,0,2.2,75.88,0.759
