location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,33898,314,269.429,959,20,21.429,870.779,8.066,6.921,24.635,0.514,0.55,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,3188,82,75.143,83,0,2,1107.791,28.494,26.111,28.841,0,0.695,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.96,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,17808,460,450.143,988,10,8.571,406.102,10.49,10.265,22.531,0.228,0.195,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.74,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,855,0,0,52,0,0,11065.812,0,0,673.008,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.37,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,396,10,11.571,22,1,0.714,12.049,0.304,0.352,0.669,0.03,0.022,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.39,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,73,3,0.571,3,0,0,745.446,30.635,5.835,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,90693,3663,2964.571,1720,26,47.857,2006.67,81.047,65.594,38.057,0.575,1.059,1.21,0,0,0,0,0,0,0,0,9894,441765,9.774,0.219,8751,0.194,0.339,3,92.59,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,30346,526,526.857,535,14,10.857,10240.838,177.509,177.798,180.546,4.725,3.664,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,9374,318,186.857,106,0,0.286,367.61,12.471,7.328,4.157,0,0.011,1.71,0,0,0,0,0,0,0,0,54425,2910831,114.151,2.134,49578,1.944,0.004,265.3,75.46,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,18615,102,96.286,706,0,0.143,2066.864,11.325,10.691,78.389,0,0.016,1.22,12,1.332,66,7.328,0,0,0,0,7507,675727,75.027,0.834,6718,0.746,0.014,69.8,47.22,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
Azerbaijan,22464,548,540,284,10,8,2215.565,54.048,53.259,28.01,0.986,0.789,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
Bahamas,107,1,0.429,11,0,0,272.093,2.543,1.09,27.972,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
Bahrain,31528,597,527.286,103,5,1.286,18528.629,350.85,309.88,60.532,2.938,0.756,1.03,0,0,0,0,0,0,0,0,0,0,0,0,10160,5.971,0.052,19.3,69.44,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,0,2,77.29,0.846
Bangladesh,175494,3360,3173.857,2238,41,44.571,1065.606,20.402,19.272,13.589,0.249,0.271,0.93,0,0,0,0,0,0,0,0,15632,907747,5.512,0.095,14584,0.089,0.218,4.6,74.54,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
Barbados,98,0,0.143,7,0,0,341.023,0,0.497,24.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.41,287371,664.463,39.8,14.952,9.473,16978.068,0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
Belarus,64411,187,244.714,449,6,6.286,6816.469,19.79,25.898,47.517,0.635,0.665,0.71,0,0,0,0,0,0,0,0,0,0,0,0,10505,1.112,0.023,42.9,16.67,9449321,46.858,40.3,14.799,9.788,17167.967,0,443.129,5.18,10.5,46.1,0,11,74.79,0.808
Belgium,62210,87,87.429,9778,2,2.429,5367.736,7.507,7.544,843.686,0.173,0.21,1.18,36,3.106,160,13.805,0,0,0,0,12535,1382260,119.267,1.082,11317,0.976,0.008,129.4,50,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,0,5.64,81.63,0.916
