location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,32941,279,283.429,866,38,19.714,846.196,7.167,7.281,22.246,0.976,0.506,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,2893,74,70.143,76,2,3,1005.282,25.714,24.374,26.409,0.695,1.042,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.52,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,15941,441,381.143,952,6,7.857,363.526,10.057,8.692,21.71,0.137,0.179,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.74,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,855,0,0,52,0,0,11065.812,0,0,673.008,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.48,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,346,0,11.286,19,0,1.143,10.528,0,0.343,0.578,0,0.035,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,68,0,-0.143,3,0,0,694.388,0,-1.459,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,77815,2439,2554.571,1507,26,39.286,1721.732,53.965,56.522,33.344,0.575,0.869,1.22,0,0,0,0,0,0,0,0,5334,403945,8.938,0.118,8126,0.18,0.314,3.2,92.59,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,28606,706,565.857,484,7,8.286,9653.642,238.253,190.959,163.335,2.362,2.796,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,8583,140,117,106,2,0.286,336.59,5.49,4.588,4.157,0.078,0.011,1.85,0,0,0,0,0,0,0,0,45399,2713435,106.41,1.78,47751,1.873,0.002,408.1,68.98,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,18280,115,89.429,706,1,0.571,2029.668,12.769,9.929,78.389,0.111,0.063,1.39,10,1.11,62,6.884,0,0,0,0,5125,647804,71.927,0.569,6469,0.718,0.014,72.3,47.22,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
