location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,1704,172,96.714,58,6,3.143,43.773,4.418,2.484,1.49,0.154,0.081,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,736,10,21.714,28,0,0.286,255.751,3.475,7.545,9.73,0,0.099,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.81,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,3517,135,114.143,432,7,6.857,80.203,3.079,2.603,9.852,0.16,0.156,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.85,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,743,5,3.714,40,0,0.429,9616.256,64.712,48.072,517.699,0,5.547,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.78,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,27,1,0.429,2,0,0,0.822,0.03,0.013,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,24,0,0.143,3,0,0,245.078,0,1.459,30.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,4003,111,151.714,197,5,8.714,88.57,2.456,3.357,4.359,0.111,0.193,1.23,0,0,0,0,0,0,0,0,1785,47334,1.047,0.039,2025,0.045,0.075,13.3,88.89,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,1808,62,67,29,1,1,610.144,20.923,22.61,9.787,0.337,0.337,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,6721,7,14,83,0,2.286,263.57,0.275,0.549,3.255,0,0.09,0.49,0,0,0,0,0,0,0,0,10614,517063,20.277,0.416,12190,0.478,0.001,870.7,69.44,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,15274,49,68.429,549,7,11.286,1695.905,5.441,7.598,60.957,0.777,1.253,0.57,140,15.545,439,48.743,0,0,0,0,4906,232537,25.819,0.545,7084,0.787,0.01,103.5,75,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
Azerbaijan,1678,33,34.571,22,1,0.429,165.497,3.255,3.41,2.17,0.099,0.042,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.96,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
Bahamas,80,0,2.857,11,0,0.286,203.434,0,7.265,27.972,0,0.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
Bahrain,2723,76,116.571,8,0,0.143,1600.275,44.664,68.508,4.702,0,0.084,1.29,0,0,0,0,0,0,0,0,3687,117797,69.228,2.167,3927,2.308,0.03,33.7,75,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,0,2,77.29,0.846
Bangladesh,5913,497,423.571,152,7,7.286,35.904,3.018,2.572,0.923,0.043,0.044,1.44,0,0,0,0,0,0,0,0,4332,54733,0.332,0.026,3594,0.022,0.118,8.5,93.52,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
Barbados,80,1,0.714,6,0,0.143,278.386,3.48,2.486,20.879,0,0.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.89,287371,664.463,39.8,14.952,9.473,16978.068,0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
Belarus,11289,826,717.857,75,3,3.429,1194.689,87.414,75.969,7.937,0.317,0.363,1.43,0,0,0,0,0,0,0,0,6275,153800,16.276,0.664,7319,0.775,0.098,10.2,16.67,9449321,46.858,40.3,14.799,9.788,17167.967,0,443.129,5.18,10.5,46.1,0,11,74.79,0.808
Belgium,46687,553,957.714,7207,113,197,4028.347,47.715,82.636,621.85,9.75,16.998,0.77,876,75.585,3976,343.066,0,0,0,0,17472,339334,29.279,1.508,15922,1.374,0.06,16.6,81.48,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,0,5.64,81.63,0.916
Belize,18,0,0,2,0,0,45.269,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.85,397621,16.426,25,3.853,2.279,7824.362,0,176.957,17.11,0,0,90.083,1.3,74.62,0.708
Benin,64,0,1.429,1,0,0,5.279,0,0.118,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.83,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
Bhutan,7,0,0.286,0,0,0,9.072,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,0,0,79.807,1.7,71.78,0.612
Bolivia,1014,64,64.286,53,3,2.857,86.867,5.483,5.507,4.54,0.257,0.245,1.45,0,0,0,0,0,0,0,0,197,5988,0.513,0.017,241,0.021,0.267,3.7,84.26,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,0,0,25.383,1.1,71.51,0.693
Bosnia and Herzegovina,1565,49,36.571,60,1,1.571,477.016,14.935,11.147,18.288,0.305,0.479,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.74,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
Botswana,22,0,0.286,1,0,0,9.355,0,0.121,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.11,2351625,4.044,25.8,3.941,2.242,15807.374,0,237.372,4.81,5.7,34.4,0,1.8,69.59,0.717
Brazil,67446,4346,3814.714,4603,317,288,317.304,20.446,17.947,21.655,1.491,1.355,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.31,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,0,2.2,75.88,0.759
Brunei,138,0,0,1,0,0,315.441,0,0,2.286,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33,437483,81.347,32.4,4.591,2.382,71809.251,0,201.285,12.79,2,30.9,0,2.7,75.86,0.853
Bulgaria,1363,63,62,58,2,2.143,196.159,9.067,8.923,8.347,0.288,0.308,1.17,41,5.901,301,43.319,0,0,0,0,0,0,0,0,1913,0.275,0.032,30.9,73.15,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,0,7.454,75.05,0.813
Burkina Faso,635,3,7.714,42,0,0.571,30.378,0.144,0.369,2.009,0,0.027,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423
Burundi,11,0,0.857,1,0,0,0.925,0,0.072,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,0,0,6.144,0.8,61.58,0.417
Cambodia,122,0,0,0,0,0,7.297,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.41,16718971,90.672,25.6,4.412,2.385,3645.07,0,270.892,4,2,33.7,66.229,0.8,69.82,0.582
Cameroon,1705,84,77.429,58,2,2.286,64.228,3.164,2.917,2.185,0.075,0.086,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,0,0,2.735,1.3,59.29,0.556
Canada,49616,1583,1708.286,2841,154,159.143,1314.604,41.942,45.262,75.274,4.08,4.217,1.06,0,0,0,0,0,0,0,0,26197,733705,19.44,0.694,24875,0.659,0.069,14.6,72.69,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,0,2.5,82.43,0.926
Cape Verde,109,3,6,1,0,0,196.047,5.396,10.792,1.799,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,555988,135.58,25.7,4.46,3.437,6222.554,0,182.219,2.42,2.1,16.5,0,2.1,72.98,0.654
Central African Republic,19,0,1,0,0,0,3.934,0,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.52,4829764,7.479,18.3,3.655,2.251,661.24,0,435.727,6.1,0,0,16.603,1,53.28,0.367
Chad,46,0,1.857,0,0,0,2.8,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.89,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,0,0,5.818,0,54.24,0.404
Chile,15492,482,588.143,198,9,8.429,810.412,25.214,30.767,10.358,0.471,0.441,1.4,0,0,0,0,0,0,0,0,5260,153693,8.04,0.275,6058,0.317,0.097,10.3,73.15,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,0,2.11,80.18,0.843
China,83918,6,14.429,4637,0,0.143,58.304,0.004,0.01,3.222,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.94,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,0,4.34,76.91,0.752
Colombia,5597,218,231.429,253,9,9.143,109.998,4.284,4.548,4.972,0.177,0.18,1.33,0,0,0,0,0,0,0,0,3793,90899,1.786,0.075,3686,0.072,0,0,90.74,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.747
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.503
Congo,200,0,5.714,6,0,0,36.244,0,1.036,1.087,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.22,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,0,64.57,0.606
Costa Rica,697,2,5,6,0,0,136.825,0.393,0.982,1.178,0,0,0.87,0,0,0,0,0,0,0,0,58,9062,1.779,0.011,158,0.031,0,0,81.48,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794
Cote d'Ivoire,1164,14,45.286,14,0,0.714,44.127,0.531,1.717,0.531,0,0.027,1.19,0,0,0,0,0,0,0,0,289,8581,0.325,0.011,407,0.015,0.111,9,80.56,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,0,0,19.351,0,57.78,0.492
Croatia,2039,9,22.571,59,4,1.714,496.679,2.192,5.498,14.372,0.974,0.418,0.48,0,0,303,73.808,0,0,0,0,1195,32817,7.994,0.291,887,0.216,0.025,39.3,89.81,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,0,5.54,78.49,0.831
Cuba,1389,20,43.143,56,2,2.857,122.632,1.766,3.809,4.944,0.177,0.252,0.85,0,0,0,0,0,0,0,0,1857,43508,3.841,0.164,1870,0.165,0.023,43.3,83.33,11326616,110.408,43.1,14.738,9.719,0,0,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
Cyprus,822,5,7.143,15,1,0.429,938.464,5.708,8.155,17.125,1.142,0.489,0.66,0,0,0,0,0,0,0,0,1796,50111,57.211,2.05,2066,2.359,0.003,289.2,94.44,875899,127.657,37.3,13.416,8.563,32415.132,0,141.171,9.24,19.6,52.7,0,3.4,80.98,0.869
Czechia,7445,41,77.857,223,3,4.143,695.211,3.829,7.27,20.824,0.28,0.387,0.66,68,6.35,310,28.948,0,0,0,0,7754,230412,21.516,0.724,6824,0.637,0.011,87.6,57.41,10708982,137.176,43.3,19.027,11.58,32605.906,0,227.485,6.82,30.5,38.3,0,6.63,79.38,0.888
Democratic Republic of Congo,459,17,18.143,28,0,0.429,5.125,0.19,0.203,0.313,0,0.005,1.13,0,0,0,0,0,0,0,0,70,0,0,0.001,0,0,0,0,80.56,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,0,0,4.472,0,60.68,0.457
Denmark,8896,123,169.286,427,5,9,1535.858,21.235,29.226,73.72,0.863,1.554,0.92,72,12.431,310,53.52,0,0,0,0,17351,203393,35.115,2.996,12685,2.19,0.013,74.9,68.52,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,0,2.5,80.9,0.929
Djibouti,1035,12,27,2,0,0,1047.569,12.146,27.328,2.024,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.44,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,0,1.4,67.11,0.476
