location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,686878,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,0,0,35.89,1.4,73,0.546
Somalia,3275,0,1.429,95,0,0.286,206.063,0,0.09,5.977,0,0.018,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59,15893219,23.5,16.8,2.731,1.496,0,0,365.769,6.05,0,0,9.831,0.9,57.4,0
South Africa,620132,1846,2399.143,13743,115,128.571,10456.006,31.125,40.452,231.72,1.939,2.168,0.7,0,0,0,0,0,0,0,0,14329,3632311,61.244,0.242,18258,0.308,0.131,7.6,72.22,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.699
South Korea,19400,323,342.571,321,5,1.714,378.395,6.3,6.682,6.261,0.098,0.033,1.12,0,0,0,0,0,0,0,0,19468,1837006,35.831,0.38,17275,0.337,0.02,50.4,50.46,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,0,12.27,83.03,0.903
South Sudan,2518,4,3,47,0,0,224.947,0.357,0.268,4.199,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.78,11193729,0,19.2,3.441,2.032,1569.888,0,280.775,10.43,0,0,0,0,57.85,0.388
Spain,439286,9779,7604.571,29011,15,24.714,9395.531,209.155,162.648,620.493,0.321,0.529,1.33,751,16.063,6224,133.12,0,0,0,0,0,0,0,0,82160,1.757,0.093,10.8,62.5,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,0,2.97,83.56,0.891
Sri Lanka,2989,3,6.857,12,0,0.143,139.586,0.14,0.32,0.56,0,0.007,1.18,0,0,0,0,0,0,0,0,2748,221910,10.363,0.128,2715,0.127,0.003,395.9,29.63,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,0,3.6,76.98,0.77
Sudan,13082,37,65.571,823,0,1.571,298.34,0.844,1.495,18.769,0,0.036,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.46,43849269,23.258,19.7,3.548,2.034,4466.507,0,431.388,15.67,0,0,23.437,0.8,65.31,0.502
Suriname,3848,55,55.429,66,0,1.429,6559.456,93.755,94.486,112.506,0,2.435,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,586634,3.612,29.6,6.933,4.229,13767.119,0,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.72
Sweden,83958,0,143.429,5821,1,0.714,8313.274,0,14.202,576.378,0.099,0.071,1.13,0,0,0,0,0,0,0,0,12151,0,0,1.203,11355,1.124,0.013,79.2,55.56,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,0,2.22,82.8,0.933
