location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,175,29,18.857,4,0,0.429,4.495,0.745,0.484,0.103,0,0.011,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.59,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,243,20,17.143,15,4,1.429,84.44,6.95,5.957,5.212,1.39,0.496,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,716,132,64.571,44,9,3.571,16.328,3.01,1.473,1.003,0.205,0.081,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.57,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,376,6,30.286,12,4,1.571,4866.369,77.655,391.972,155.31,51.77,20.338,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.15,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,7,0,0.571,2,0,0.286,0.213,0,0.017,0.061,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.74,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,7,0,0.571,0,0,0,71.481,0,5.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,1054,234,95.286,27,4,3,23.321,5.177,2.108,0.597,0.089,0.066,1.57,0,0,0,0,0,0,0,0,590,5808,0.129,0.013,491,0.011,0.194,5.2,100,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,532,50,40.429,3,0,0.429,179.534,16.873,13.643,1.012,0,0.145,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,4559,198,359.286,18,1,1.429,178.785,7.765,14.09,0.706,0.039,0.056,1.2,0,0,0,0,0,0,0,0,0,0,0,0,10466,0.41,0.034,29.1,71.3,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,10180,562,699.571,128,20,14.286,1130.307,62.4,77.675,14.212,2.221,1.586,1.09,0,0,0,0,0,0,0,0,2889,52344,5.812,0.321,3422,0.38,0.204,4.9,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
