location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,39994,66,63.714,1483,1,1.714,1027.375,1.695,1.637,38.096,0.026,0.044,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,38928341,54.422,18.6,2.581,1.337,1803.987,0,597.029,9.59,0,0,37.746,0.5,64.83,0.498
Albania,15955,203,175,434,5,3.857,5544.166,70.54,60.81,150.81,1.737,1.34,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.63,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,0,2.89,78.57,0.785
Algeria,53584,185,152,1827,9,8,1221.955,4.219,3.466,41.664,0.205,0.182,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
Andorra,3190,195,88.857,59,2,0.857,41286.482,2523.782,1150.031,763.606,25.885,11.094,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7,77265,163.755,0,0,0,0,0,109.135,7.97,29,37.8,0,0,83.73,0.858
Angola,6846,166,160.143,227,5,2.286,208.299,5.051,4.873,6.907,0.152,0.07,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3,32866268,23.89,16.8,2.405,1.362,5819.495,0,276.045,3.94,0,0,26.664,0,61.15,0.581
Antigua and Barbuda,112,1,0.571,3,0,0,1143.697,10.212,5.835,30.635,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97928,231.845,32.1,6.933,4.631,21490.943,0,191.511,13.17,0,0,0,3.8,77.02,0.78
Argentina,931967,14932,13007.429,24921,349,385,20620.666,330.385,287.802,551.401,7.722,8.518,1.03,0,0,0,0,0,0,0,0,33070,2274291,50.321,0.732,25688,0.568,0.506,2,82.87,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0,5,76.67,0.825
Armenia,58624,1058,695.571,1039,7,6.286,19783.79,357.042,234.734,350.63,2.362,2.121,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
Australia,27357,20,21.571,904,0,1,1072.829,0.784,0.846,35.451,0,0.039,0.93,0,0,0,0,0,0,0,0,46502,8109490,318.021,1.824,36750,1.441,0.001,1703.7,68.06,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,0,3.84,83.44,0.939
Austria,58672,1346,1117.714,872,11,6,6514.479,149.449,124.102,96.82,1.221,0.666,1.29,112,12.436,542,60.179,0,0,0,0,17033,1861672,206.705,1.891,18083,2.008,0.062,16.2,44.91,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0,7.37,81.54,0.908
Azerbaijan,42750,369,233.857,616,4,2,4216.319,36.393,23.065,60.754,0.395,0.197,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.2,10139175,119.309,32.4,6.018,3.871,15847.419,0,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
Bahamas,5191,28,68.286,109,1,1,13200.321,71.202,173.645,277.179,2.543,2.543,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393248,39.497,34.3,8.996,5.2,27717.847,0,235.954,13.17,3.1,20.4,0,2.9,73.92,0.807
Bahrain,76621,349,384.143,287,2,3.571,45029.246,205.103,225.756,168.666,1.175,2.099,0.9,0,0,0,0,0,0,0,0,10399,1568037,921.517,6.111,8424,4.951,0.046,21.9,63.89,1701583,1935.907,32.4,2.372,1.387,43290.705,0,151.689,16.52,5.8,37.6,0,2,77.29,0.846
Bangladesh,382959,1684,1401.143,5593,16,21.857,2325.341,10.225,8.508,33.961,0.097,0.133,1.05,0,0,0,0,0,0,0,0,14411,2115411,12.845,0.088,12234,0.074,0.115,8.7,80.09,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
Barbados,215,5,1.714,7,0,0,748.162,17.399,5.965,24.359,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,287371,664.463,39.8,14.952,9.473,16978.068,0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
Belarus,85121,597,516.571,911,5,5.286,9008.16,63.179,54.668,96.409,0.529,0.559,1.26,0,0,0,0,0,0,0,0,0,2118816,224.229,0,19338,2.046,0.027,37.4,16.67,9449321,46.858,40.3,14.799,9.788,17167.967,0,443.129,5.18,10.5,46.1,0,11,74.79,0.808
Belgium,181511,8271,6234.714,10278,34,24.286,15661.52,713.656,537.957,886.828,2.934,2.095,1.56,313,27.007,1778,153.413,0,0,0,0,72975,3918773,338.128,6.297,51275,4.424,0.122,8.2,45.37,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,0,5.64,81.63,0.916
Belize,2619,34,44.143,40,1,0.857,6586.674,85.509,111.017,100.598,2.515,2.156,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.44,397621,16.426,25,3.853,2.279,7824.362,0,176.957,17.11,0,0,90.083,1.3,74.62,0.708
Benin,2478,67,9.571,41,0,0,204.402,5.527,0.79,3.382,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.22,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
Bhutan,316,3,1.714,0,0,0,409.532,3.888,2.222,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.78,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,0,0,79.807,1.7,71.78,0.612
