country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,3,0,0,3.16
Albania,6,0,0,95.559
Algeria,3,0,0,6.978
Andorra,0,0,0,647.124
Angola,3,0,0,5.933
Antigua and Barbuda,3,0,0,0
Argentina,1,0,0,293.545
Armenia,0,0,0,804.189
Australia,3,0,0,0.549
Austria,0,160.33,27.536,494.426
Azerbaijan,6,0,0,100.107
Bahamas,6,0,0,147.49
Bahrain,6,0,0,141.045
Bangladesh,3,0,0,10.207
Barbados,3,0,0,0
Belarus,6,0,0,104.134
Belgium,4,533.84,91.202,2064.003
Belize,3,0,0,0
Benin,3,0,0,0
Bhutan,3,0,0,0
Bolivia,3,0,0,13.964
Bosnia and Herzegovina,0,0,0,579.734
Botswana,6,0,0,152.66
Brazil,6,0,0,122.817
Brunei,3,0,0,0
Bulgaria,0,341.947,24.034,386.993
Burkina Faso,3,0,0,0.239
Burundi,3,0,0,0.084
Cambodia,3,0,0,0.06
Cameroon,3,0,0,0
Canada,6,0,0,79.937
Cape Verde,6,0,0,98.923
Central African Republic,3,0,0,0
Chad,3,0,0,0.304
Chile,6,0,0,79.514
China,3,0,0,0.019
Colombia,1,0,0,219.858
Comoros,3,0,0,0
Congo,3,0,0,6.705
Costa Rica,5,0,0,199.642
Cote d'Ivoire,3,0,0,2.767
Croatia,0,239.936,0,676.204
Cuba,3,0,0,3.443
Cyprus,6,0,0,138.144
Czechia,4,679.897,99.729,1219.07
Democratic Republic of Congo,3,0,0,0
Denmark,6,23.998,2.935,148.475
Djibouti,3,0,0,3.036
Dominica,3,0,0,0
Dominican Republic,2,0,0,31.619
Ecuador,6,0,0,79.011
Egypt,3,0,0,1.749
El Salvador,6,0,0,80.17
Equatorial Guinea,3,0,0,0
Eritrea,3,0,0,0
Estonia,2,30.154,3.015,61.061
Eswatini,3,0,0,11.205
Ethiopia,3,0,0,4.184
Fiji,3,0,0,1.116
Finland,2,0,0,33.931
