country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,0,0,0.539,17.571
Albania,0,0,0,14.594
Algeria,3,0,0.182,2.326
Andorra,7,0,0,0
Angola,7,0,0,0.517
Antigua and Barbuda,7,0,0,0
Argentina,6,0.141,0.398,27.126
Armenia,2,0,3.375,144.437
Australia,7,1.148,0,0.431
Austria,3,0.602,0.111,2.887
Azerbaijan,6,0,0.395,33.435
Bahamas,7,0,0,0
Bahrain,2,4.642,1.175,275.626
Bangladesh,0,0.097,0.225,19.37
Barbados,0,0,0,13.919
Belarus,4,0,0.635,84.768
Belgium,5,1.236,0.863,11.39
Belize,7,0,0,0
Benin,7,0,0,0
Bhutan,7,0,0,0
Bolivia,4,0.122,2.142,54.57
Bosnia and Herzegovina,0,0,0.305,14.326
Botswana,3,0,0,2.551
Brazil,2,0,5.994,154.841
Brunei,7,0,0,0
Bulgaria,0,0.256,0,14.967
Burkina Faso,7,0,0,0
Burundi,7,0,0,0
Cambodia,7,0,0,0
Cameroon,0,0,0,13.9
Canada,0,0.889,1.802,12.691
Cape Verde,4,0.442,0,53.958
Central African Republic,5,0,0,7.868
Chad,7,0,0.061,0.122
Chile,2,0.757,10.044,298.019
China,7,0,0,0.008
Colombia,6,0.237,1.199,31.523
Comoros,6,0,0,24.149
Congo,7,0,0,0
Costa Rica,0,0.084,0.196,16.882
Cote d'Ivoire,5,0.023,0.114,7.051
Croatia,7,0.057,0,0.487
Cuba,7,0.185,0,0.53
Cyprus,3,1.563,0,2.283
Czechia,5,0.38,0.187,6.817
Democratic Republic of Congo,7,0.007,0.067,1.463
Denmark,3,2.583,0,2.59
Djibouti,6,0,0,42.51
Dominica,7,0,0,0
Dominican Republic,6,0.227,0.553,36.228
Ecuador,6,0.064,1.7,29.643
Egypt,0,0,0.352,14.218
El Salvador,0,0.366,0.617,12.796
Equatorial Guinea,7,0,0,0
Eritrea,7,0,0,0.564
Estonia,5,0.895,0,8.292
Eswatini,0,0,0,23.273
Ethiopia,7,0.054,0.026,1.479
Fiji,7,0.144,0,0
Finland,3,0.534,0,2.707
