country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,5,0,0,1.927
Albania,1,0,0,58.378
Algeria,4,0,0,5.633
Andorra,5,0,0,0
Angola,5,0,0,1.613
Antigua and Barbuda,5,0,0,0
Argentina,7,0,0,200.373
Armenia,1,0,0,63.107
Australia,5,0,0,1.608
Austria,1,20.208,4.885,51.408
Azerbaijan,3,0,0,15.287
Bahamas,5,0,0,0
Bahrain,0,0,0,423.723
Bangladesh,4,0,0,8.962
Barbados,4,0,0,3.48
Belarus,3,0,0,20.954
Belgium,6,25.281,6.126,84.3
Belize,1,0,0,55.329
Benin,5,0,0,2.062
Bhutan,5,0,0,1.296
Bolivia,6,0,0,69.305
Bosnia and Herzegovina,6,0,0,99.67
Botswana,5,0,0,0
Brazil,6,0,0,69.477
Brunei,5,0,0,0
Bulgaria,8,106.499,7.628,3.886
Burkina Faso,4,0,0,9.233
Burundi,5,0,0,0.084
Cambodia,5,0,0,0
Cameroon,4,0,0,5.952
Canada,3,0,0,12.612
Cape Verde,7,0,0,183.457
Central African Republic,5,0,0,0
Chad,5,0,0,0.061
Chile,6,0,0,108.913
China,5,0,0,0.02
Colombia,7,0,0,144.548
Comoros,5,0,0,0
Congo,5,0,0,0
Costa Rica,5,0,0,0
Cote d'Ivoire,4,0,0,3.677
Croatia,8,75.269,0,40.192
Cuba,5,0,0,2.737
Cyprus,4,0,0,3.425
Czechia,6,28.481,6.91,73.49
Democratic Republic of Congo,5,0,0,0.056
Denmark,1,8.114,0.691,58.354
Djibouti,5,0,0,1.012
Dominica,5,0,0,0
Dominican Republic,1,0,0,52.36
Ecuador,7,0,0,121.464
Egypt,5,0,0,1.495
El Salvador,3,0,0,11.871
Equatorial Guinea,5,0,0,0
Eritrea,5,0,0,0
Estonia,3,12.061,1.508,15.831
Eswatini,3,0,0,21.549
Ethiopia,4,0,0,3.592
Fiji,5,0,0,0
Finland,4,0,0,4.151
France,8,80.094,10.142,1.256
Gabon,5,0,0,0
Gambia,3,0,0,12
Georgia,2,0,0,38.103
Germany,3,0,0,10.981
Ghana,5,0,0,0
Greece,3,0,0,19.572
Grenada,5,0,0,0
Guatemala,3,0,0,14.01
Guinea,5,0,0,1.904
Guinea-Bissau,5,0,0,0
Guyana,1,0,0,52.126
Haiti,5,0,0,1.315
Honduras,6,0,0,65.929
Hong Kong,5,0,0,0
Hungary,1,29.191,0,50.102
Iceland,4,0,0,8.791
India,6,0,0,66.718
Indonesia,3,0,0,13.293
International,5,0,0,0
Iran,2,0,0,24.871
Iraq,6,0,0,87.787
Ireland,1,10.936,2.025,51.642
Israel,0,0,0,366.817
Italy,2,36.866,3.093,24.081
Jamaica,1,0,0,49.98
Japan,4,0,0,3.479
Jordan,2,0,0,24.698
Kazakhstan,3,0,0,22.368
Kenya,4,0,0,3.496
Kosovo,2,0,0,36.735
Kuwait,7,0,0,129.491
Kyrgyzstan,4,0,0,8.124
Laos,5,0,0,0
Latvia,4,5.302,0,5.302
Lebanon,6,0,0,93.913
Lesotho,5,0,0,0
Liberia,5,0,0,0.593
Libya,1,0,0,63.016
Liechtenstein,5,0,0,0
Lithuania,3,0,0,14.326
Luxembourg,5,25.56,1.598,0
Madagascar,5,0,0,0.722
Malawi,5,0,0,0.627
Malaysia,5,0,0,1.452
Maldives,7,0,0,223.849
Mali,5,0,0,0.395
Malta,7,0,0,176.655
Marshall Islands,5,0,0,0
Mauritania,5,0,0,0.43
Mauritius,5,0,0,0
Mexico,2,0,0,34.188
Moldova,6,0,0,65.444
Monaco,1,0,0,50.963
Mongolia,5,0,0,0
Montenegro,0,0,0,289.78
Morocco,1,0,0,60.985
Mozambique,4,0,0,7.327
Myanmar,4,0,0,4.025
Namibia,1,0,0,45.259
Nepal,2,0,0,35.659
Netherlands,6,0,3.677,68.107
New Zealand,5,0,0,0.207
Nicaragua,5,0,0,0
Niger,5,0,0,0.083
Nigeria,5,0,0,0.383
North Macedonia,1,0,0,46.559
Norway,3,0,0,13.834
Oman,0,0,0,275.916
Pakistan,5,0,0,2.44
Palestine,7,0,0,130.944
Panama,7,0,0,163.161
Papua New Guinea,5,0,0,0.224
Paraguay,6,0,0,69.12
Peru,7,0,0,186.887
Philippines,2,0,0,30.598
