country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,8,0,0.051,1.182
Albania,1,0,1.737,52.818
Algeria,6,0,0.251,8.939
Andorra,5,0,0,0
Angola,8,0,0.061,1.126
Antigua and Barbuda,5,0,0,0
Argentina,2,0.236,3.031,118.418
Armenia,7,0,0.675,59.395
Australia,0,0,0.588,4.078
Austria,9,0.87,0,21.207
Azerbaijan,9,0,0.296,16.668
Bahamas,1,0,5.086,48.316
Bahrain,2,5.387,0.588,171.605
Bangladesh,9,0.066,0.206,11.98
Barbados,6,0,0,10.439
Belarus,9,0.902,0.529,19.366
Belgium,1,0.736,0.345,40.381
Belize,1,0,0,45.269
Benin,5,0,0,0
Bhutan,5,0,0,0
Bolivia,7,0.204,5.74,61.852
Bosnia and Herzegovina,5,0,0,0
Botswana,5,0,0,0
Brazil,2,0,2.324,110.186
Brunei,5,0,0,0
Bulgaria,9,0.49,0.864,22.451
Burkina Faso,8,0,0,1.1
Burundi,5,0,0,0.084
Cambodia,5,0,0,0
Cameroon,5,0,0,0
Canada,6,1.027,0.053,6.809
Cape Verde,2,0.128,0,97.124
Central African Republic,5,0,0,0
Chad,5,0,0,0.244
Chile,2,1.673,3.139,102.374
China,5,0,0,0.028
Colombia,2,0.449,6.839,157.931
Comoros,5,0,0,0
Congo,5,0,0,0
Costa Rica,2,0.411,1.374,144.48
Cote d'Ivoire,0,0.043,0,3.677
Croatia,7,0.418,0.244,66.987
Cuba,0,0.376,0.177,5.739
Cyprus,0,3.746,0,4.567
Czechia,9,0.224,0.093,12.419
Democratic Republic of Congo,5,0.002,0,0.212
Denmark,9,4.758,0,13.466
Djibouti,5,0,0,0
Dominica,5,0,0,0
Dominican Republic,1,0.255,1.198,55.31
Ecuador,4,0.133,1.87,38.542
Egypt,5,0,0.186,1.007
El Salvador,4,0.377,1.079,31.143
Equatorial Guinea,5,0,0,0
Eritrea,5,0,0,0
Estonia,0,0.314,0,5.277
Eswatini,4,0,1.724,31.03
Ethiopia,9,0.175,0.139,14.248
Fiji,5,0.02,0,0
Finland,8,2.297,0,2.527
France,7,0.361,0.015,75.023
Gabon,5,0,0,0
Gambia,2,0,1.241,102.621
Georgia,0,0,0,4.262
Germany,6,0,0.036,7.555
Ghana,0,0.024,0,5.793
Greece,4,0,0.192,27.151
