country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,3,0.514,0,16.851
Albania,3,0.347,0,10.772
Algeria,5,0.228,0,2.486
Andorra,3,0,0,12.942
Angola,5,0,0,0.365
Antigua and Barbuda,5,0,0,0
Argentina,2,0.443,0,30.777
Armenia,0,4.387,0,206.531
Australia,5,0,0,0.196
Austria,5,0.111,0.999,3.331
Azerbaijan,2,0.493,0,33.139
Bahamas,5,0,0,0
Bahrain,4,1.175,0,353.788
Bangladesh,3,0.279,0,21.076
Barbados,5,0,0,0
Belarus,1,0.529,0,74.503
Belgium,3,0.863,7.593,9.319
Belize,5,0,0,0
Benin,5,0.082,0,6.846
Bhutan,5,0,0,0
Bolivia,1,2.227,0,65.45
Bosnia and Herzegovina,3,0.61,0,18.593
Botswana,5,0,0,0
Brazil,0,4.276,0,122.234
Brunei,5,0,0,0
Bulgaria,3,0.576,2.159,15.111
Burkina Faso,5,0,0,0
Burundi,5,0,0,0
Cambodia,5,0,0,0
Cameroon,5,0,0,0
Canada,3,1.431,0,11.552
Cape Verde,1,0,0,71.944
Central African Republic,3,0.414,0,19.049
Chad,5,0,0,0
Chile,4,11.613,0,353.313
China,5,0,0,0.008
Colombia,2,1.12,0,32.349
Comoros,5,0,0,1.15
Congo,5,0,0,0
Costa Rica,3,0,0,14.527
Cote d'Ivoire,3,0.152,0,10.615
Croatia,5,0.244,0,0
Cuba,5,0,0,1.236
Cyprus,5,0,0,5.708
Czechia,5,0.093,1.027,7.751
Democratic Republic of Congo,5,0.033,0,1.362
Denmark,3,0.173,2.072,11.049
Djibouti,2,1.012,0,43.522
Dominica,5,0,0,0
Dominican Republic,2,0.645,0,52.637
Ecuador,1,6.121,0,75.837
Egypt,3,0.44,0,15.41
El Salvador,3,0,0,16.651
Equatorial Guinea,5,0,0,0
Eritrea,5,0,0,0
Estonia,5,0,0,3.769
Eswatini,3,0,0,19.825
Ethiopia,5,0.061,0,2.131
Fiji,5,0,0,0
Finland,5,0,0.541,1.624
France,3,0.429,13.037,11.138
Gabon,5,0,0,0
Gambia,5,0,0,0
Georgia,5,0,0,3.008
Germany,5,0.131,0,6.385
Ghana,3,0,0,16.027
Greece,5,0,0,1.919
Grenada,5,0,0,0
Guatemala,3,0.949,0,23.499
Guinea,5,0.076,0,4.112
Guinea-Bissau,2,1.524,0,36.077
Guyana,5,0,0,1.271
Haiti,5,0,0,0
Honduras,2,1.212,0,46.746
Hungary,5,0.207,0,1.449
Iceland,5,0,0,0
India,5,0.28,0,8.303
