country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,7,0,0,3.16
Albania,4,0,0,224.13
Algeria,0,0,0,24.127
Andorra,2,0,0,983.628
Angola,7,0,0,2.678
Antigua and Barbuda,7,0,0,0
Argentina,1,0,0,173.6
Armenia,5,0,0,498.104
Australia,7,0,0,0.51
Austria,3,411.041,78.056,550.053
Azerbaijan,5,0,0,366.105
Bahamas,0,0,0,35.601
Bahrain,6,0,0,98.732
Bangladesh,7,0,0,13.802
Barbados,7,0,0,13.919
Belarus,1,0,0,171.547
Belgium,3,363.688,86.025,284.479
Belize,1,0,0,181.077
Benin,7,0,0,0
Bhutan,7,0,0,7.776
Bolivia,7,0,0,8.909
Bosnia and Herzegovina,5,0,0,359.362
Botswana,7,0,0,0
Brazil,1,0,0,160.567
Brunei,7,0,0,0
Bulgaria,3,956.617,62.748,478.812
Burkina Faso,7,0,0,1.866
Burundi,7,0,0,0.336
Cambodia,7,0,0,0.06
Cameroon,7,0,0,3.579
Canada,1,0,0,157.755
Cape Verde,1,0,0,100.722
Central African Republic,7,0,0,0
Chad,7,0,0,0.122
Chile,6,0,0,82.705
China,7,0,0,0.068
Colombia,4,0,0,196.982
Comoros,7,0,0,0
Congo,0,0,0,25.734
Costa Rica,4,0,0,265.208
Cote d'Ivoire,7,0,0,1.251
Croatia,3,545.64,0,993.845
Cuba,7,0,0,3.09
Cyprus,5,0,0,353.922
Czechia,3,475.022,71.809,416.846
Democratic Republic of Congo,7,0,0,0
Denmark,4,43.852,7.942,228.411
Djibouti,7,0,0,0
Dominica,0,0,0,41.672
Dominican Republic,6,0,0,78.817
Ecuador,6,0,0,79.125
Egypt,7,0,0,3.489
El Salvador,6,0,0,80.324
Equatorial Guinea,7,0,0,0
Eritrea,7,0,0,0
Estonia,4,148.507,13.569,277.414
Eswatini,0,0,0,28.444
Ethiopia,7,0,0,6.689
Fiji,7,0,0,0
Finland,1,27.433,3.429,111.538
France,3,438.463,59.304,194.137
Gabon,7,0,0,8.087
Gambia,7,0,0,1.241
Georgia,2,0,0,1198.243
Germany,4,0,0,248.484
Ghana,7,0,0,0
Greece,4,0,0,190.059
Grenada,7,0,0,0
Guatemala,0,0,0,24.95
Guinea,7,0,0,6.853
Guinea-Bissau,7,0,0,0
Guyana,0,0,0,43.226
Haiti,7,0,0,0.702
Honduras,0,0,0,45.736
Hungary,3,785.789,0,661.777
Iceland,6,123.077,5.861,67.399
India,0,0,0,29.943
Indonesia,0,0,0,21.307
International,7,0,0,0
Iran,1,0,0,167.288
Iraq,6,0,0,63.273
Ireland,0,51.237,6.886,41.516
Israel,1,0,0,119.23
Italy,3,619.664,62.552,468.759
Jamaica,0,0,0,19.925
Japan,0,0,0,20.186
Jordan,5,0,0,448.881
