country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,2,0.026,0,0.283
Albania,1,1.737,0,38.919
Algeria,2,0.182,0,8.825
Andorra,3,0,0,336.504
Angola,2,0.03,0,1.704
Antigua and Barbuda,2,0,0,0
Argentina,3,4.89,0,259.25
Armenia,1,1.687,0,61.082
Australia,2,0.667,0,3.882
Austria,1,0,2.998,25.426
Azerbaijan,2,0.296,0,14.005
Bahamas,0,5.086,0,94.088
Bahrain,3,0.588,0,209.805
Bangladesh,2,0.285,0,13.425
Barbados,2,0,0,3.48
Belarus,1,0.529,0,19.155
Belgium,1,0.173,6.644,39
Belize,0,0,0,130.778
Benin,2,0,0,0
Bhutan,2,0,0,14.256
Bolivia,0,4.712,0,109.654
Bosnia and Herzegovina,0,2.743,0,89.612
Botswana,2,0,0,0
Brazil,3,4.022,0,204.235
Brunei,2,0,0,0
Bulgaria,1,1.295,8.491,22.595
Burkina Faso,2,0,0,0
Burundi,2,0,0,0.168
Cambodia,2,0,0,0
Cameroon,2,0,0,0
Canada,2,0.185,0,13.407
Cape Verde,0,0,0,82.736
Central African Republic,2,0,0,0.414
Chad,2,0,0,0.244
Chile,0,3.139,0,97.823
China,2,0.002,0,0.015
Colombia,3,5.876,0,166.991
Comoros,2,0,0,0
Congo,2,0,0,0
Costa Rica,3,1.963,0,234.192
Cote d'Ivoire,2,0,0,3.601
Croatia,0,0.731,0,86.961
Cuba,2,0,0,5.297
Cyprus,2,0,0,15.984
Czechia,1,0.093,3.455,56.775
Democratic Republic of Congo,2,0,0,0.882
Denmark,2,0,0.345,12.603
Djibouti,2,0,0,0
Dominica,2,0,0,0
Dominican Republic,1,1.659,0,39.27
Ecuador,1,1.87,0,52.259
Egypt,2,0.195,0,2.179
El Salvador,1,1.233,0,20.197
Equatorial Guinea,2,0,0,9.266
Eritrea,2,0,0,0
Estonia,2,0,0,13.569
Eswatini,1,1.724,0,24.135
Ethiopia,2,0.113,0,15.074
Fiji,2,0,0,0
Finland,2,0,0.18,4.151
France,0,0.306,5.837,114.319
Gabon,2,0,0,16.624
Gambia,1,1.241,0,22.345
Georgia,2,0,0,2.005
Germany,1,0,0,18.56
Ghana,2,0,0,3.476
Greece,1,0.48,0,25.808
Grenada,2,0,0,0
Guatemala,1,1.34,0,59.446
Guinea,2,0.076,0,2.894
Guinea-Bissau,2,0,0,0
Guyana,1,3.814,0,50.854
Haiti,2,0.088,0,0.877
Honduras,0,2.423,0,115.199
Hungary,2,0,0,13.664
Iceland,2,0,0,14.652
India,1,0.74,0,55.414
Indonesia,2,0.384,0,10.979
International,2,0,0,0
Iran,1,1.333,0,25.181
Iraq,0,1.84,0,103.847
Ireland,1,0,1.013,25.315
