country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,0,0.873,0.94,0
Albania,9,32.316,0.91,0
Algeria,6,7.731,0.86,0
Andorra,3,103.54,1.45,0
Angola,6,2.282,1.13,0
Antigua and Barbuda,2,0,0,0
Argentina,8,232.411,1.12,0
Armenia,2,32.735,0.97,0
Australia,6,4.078,0.62,0
Austria,9,22.651,1.14,3.331
Azerbaijan,6,14.104,0.99,0
Bahamas,4,150.033,0.97,0
Bahrain,8,275.038,1.04,0
Bangladesh,6,11.84,0.91,0
Barbados,0,6.96,0.77,0
Belarus,0,12.593,1.1,0
Belgium,9,21.657,1.05,5.867
Belize,3,108.143,1.16,0
Benin,0,0,0.94,0
Bhutan,6,2.592,0.77,0
Bolivia,1,57.312,0.86,0
Bosnia and Herzegovina,3,82.297,1.16,0
Botswana,9,38.697,0.78,0
Brazil,4,200.692,0.96,0
Brunei,0,0,0,0
Bulgaria,9,27.056,0.99,8.923
Burkina Faso,5,0.096,1,0
Burundi,2,0,0.72,0
Cambodia,5,0,0.26,0
Cameroon,5,10.058,1.01,0
Canada,6,13.354,1.18,0
Cape Verde,4,154.68,1.08,0
Central African Republic,5,0,0.62,0
Chad,6,0.244,1,0
Chile,3,74.23,0.98,0
China,6,0.013,0.65,0
Colombia,4,175.54,0.93,0
Comoros,2,4.6,0.66,0
Congo,5,0,0.57,0
Costa Rica,4,176.086,1.13,0
Cote d'Ivoire,0,1.365,0.95,0
Croatia,7,35.32,1.05,0
Cuba,6,2.913,1.08,0
Cyprus,5,2.283,0.73,0
Czechia,7,46.596,1.41,3.735
Democratic Republic of Congo,5,0.078,1.06,0
Denmark,9,17.092,1.24,0.691
Djibouti,5,0,0.51,0
Dominica,0,0,0,0
Dominican Republic,1,24.336,0.96,0
Ecuador,1,30.72,1.01,0
Egypt,5,1.72,1.01,0
El Salvador,6,14.03,1.02,0
Equatorial Guinea,2,17.106,0.46,0
Eritrea,6,0,0.25,0
Estonia,0,15.077,1.31,0
Eswatini,1,35.34,0.86,0
Ethiopia,6,10.203,0.87,0
Fiji,5,1.116,0,0
Finland,0,10.107,1.23,0
France,3,76.325,1.27,6.404
Gabon,6,0,1.03,0
Gambia,1,27.31,0.87,0
Georgia,5,5.766,1.69,0
Germany,5,14.478,1.05,0
Ghana,5,5.214,0.98,0
Greece,9,19.86,1.11,0
Grenada,2,0,0,0
Guatemala,1,45.714,0.98,0
Guinea,6,5.33,1.08,0
Guinea-Bissau,2,0,0.55,0
Guyana,3,85.181,1.2,0
Haiti,0,0.526,0.93,0
Honduras,3,76.227,1.04,0
Hong Kong,6,0,0,0
Hungary,5,12.215,2.11,0
Iceland,9,26.374,0.96,0
India,1,56.78,1.09,0
Indonesia,5,10.145,1.16,0
International,2,0,0,0
Iran,9,20.025,0.84,0
Iraq,3,84.629,1.04,0
Ireland,1,43.339,1.21,1.215
Israel,8,260.18,1.28,0
Italy,5,16.126,1.2,1.77
Jamaica,6,0,1.4,0
Japan,0,4.957,0.78,0
Jordan,5,6.175,1.45,0
Kazakhstan,1,49.157,0.56,0
Kenya,6,2.12,0.72,0
Kosovo,3,76.056,0.87,0
Kuwait,4,164.381,1.09,0
Kyrgyzstan,6,9.197,0.71,0
Laos,0,0,0,0
Latvia,0,4.241,1.14,0
Lebanon,3,68.713,1.16,0
Lesotho,6,0,0.98,0
Liberia,5,0.198,0.91,0
Libya,3,95.761,1.2,0
