country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,3,0,0.051,7.295
Albania,2,0,0,1.39
Algeria,2,0,0.114,3.831
Andorra,2,0,0,0
Angola,2,0,0,0
Antigua and Barbuda,2,0,0,0
Argentina,2,0.064,0.199,5.399
Armenia,4,0,0.337,26.66
Australia,2,1.069,0,0.863
Austria,2,0.33,0.222,1.221
Azerbaijan,3,0,0,6.904
Bahamas,2,0,0,2.543
Bahrain,0,3.967,0,173.368
Bangladesh,3,0.044,0.067,6.278
Barbados,2,0,0,0
Belarus,1,1.113,0.423,98.737
Belgium,4,0.954,4.4,31.753
Belize,2,0,0,0
Benin,2,0,0,0
Bhutan,2,0,0,2.592
Bolivia,4,0.076,0.343,23.559
Bosnia and Herzegovina,3,0,1.829,7.315
Botswana,2,0,0,0.425
Brazil,4,0,2.493,32.438
Brunei,2,0,0,0
Bulgaria,2,0.058,0.288,3.598
Burkina Faso,2,0,0.048,0.431
Burundi,2,0,0,0
Cambodia,2,0,0,0
Cameroon,2,0,0.414,4.144
Canada,4,0.639,3.285,31.079
Cape Verde,4,0,0,25.18
Central African Republic,2,0,0,0
Chad,2,0,0,0
Chile,1,0.7,0.575,62.617
China,2,0,0,0.001
Colombia,3,0.148,0.314,10.809
Comoros,2,0,0,0
Congo,3,0,0.181,10.692
Costa Rica,2,0.024,0,1.767
Cote d'Ivoire,2,0.019,0,1.137
Croatia,2,0.289,0.244,2.192
Cuba,2,0.174,0,1.501
Cyprus,2,1.194,0,3.425
Czechia,2,0.729,0.187,4.949
Democratic Republic of Congo,2,0.003,0,0.368
Denmark,3,2.84,0.691,14.502
Djibouti,3,0,0,17.206
Dominica,2,0,0,0
Dominican Republic,4,0.096,0.461,26.457
Ecuador,2,-0.078,1.02,-2.834
Egypt,2,0,0.078,3.381
El Salvador,3,0.29,0.154,10.638
Equatorial Guinea,2,0,0,0
Eritrea,2,0,0,0
Estonia,2,0.928,0.754,1.508
Eswatini,2,0,0,2.586
Ethiopia,2,0.015,0,0.096
Fiji,2,0,0,0
Finland,2,0.399,0.722,3.971
France,3,0,4.029,6.94
Gabon,1,0,0.449,63.35
Gambia,2,0,0,0.828
Georgia,2,0,0.251,0.752
Germany,3,0,1.098,8.319
Ghana,3,0.054,0,14.064
Greece,2,0.047,0,0.959
Grenada,2,0,0,0
Guatemala,2,0.012,0,3.461
Guinea,2,0,0,0
Guinea-Bissau,3,0,0,17.785
Guyana,3,0,0,6.357
Haiti,2,0,0.088,2.368
Honduras,3,0,0.808,12.923
Hungary,2,0.405,0.828,2.174
Iceland,2,1.694,0,0
India,2,0.047,0.059,2.614
Indonesia,2,0.011,0.066,0.852
International,2,0,0,0
Iran,3,0,0.536,20.037
Iraq,2,0.063,0.025,1.268
Ireland,4,1.088,1.823,28.15
Israel,2,1.065,0.578,4.506
Italy,3,0.674,2.961,12.305
Jamaica,2,0,0,1.013
Japan,2,0.047,0.15,0.293
Jordan,2,0,0,2.156
Kazakhstan,3,0.549,0.053,6.231
Kenya,2,0.016,0.019,0.521
Kosovo,3,0,0,7.243
Kuwait,0,0,1.639,140.028
Kyrgyzstan,2,0,0,2.146
Laos,2,0,0,0
Latvia,2,0.294,0,3.711
Lebanon,2,0,0,2.051
Lesotho,2,0,0,0
Liberia,2,0,0,2.373
Libya,2,0.012,0,0
Liechtenstein,2,0,0,0
Lithuania,2,1.564,0,2.204
Luxembourg,2,1.673,0,3.195
Madagascar,2,0.036,0,-0.253
Malawi,2,0.001,0,0.052
Malaysia,2,0.281,0.031,2.163
Maldives,1,0.795,0,114.7
Mali,2,0,0.049,0.395
Malta,3,2.804,0,15.854
Marshall Islands,2,0,0,0
Mauritania,2,0.001,0,0
Mauritius,2,0,0,0
Mexico,3,0.053,0.838,10.122
Moldova,3,0,1.487,16.857
Monaco,2,0,0,0
Mongolia,2,0,0,0
Montenegro,2,0,0,0
Morocco,3,0.083,0,5.906
Mozambique,2,0.008,0,0.384
Myanmar,2,0.006,0,0
Namibia,2,0,0,0
Nepal,2,0.031,0,0.824
Netherlands,3,0,0.934,9.396
New Zealand,2,1.125,0,0
Nicaragua,2,0,0,0
Niger,2,0,0,0.454
Nigeria,2,0,0.034,1.174
North Macedonia,3,0.07,0,10.56
