country,cluster,new_cases_per_million,reproduction_rate,icu_patients_per_million
Afghanistan,4,0.103,0,0
Albania,5,2.085,0,0
Algeria,4,0.068,0,0
Andorra,0,284.734,0,0
Angola,1,0.03,0,0
Antigua and Barbuda,2,0,0,0
Argentina,5,0.686,0,0
Armenia,2,7.087,1.41,0
Australia,6,4.314,2.35,0
Austria,5,41.637,2.34,0
Azerbaijan,6,0,0,0
Bahamas,2,0,0,0
Bahrain,6,4.114,1.29,0
Bangladesh,5,0.018,0,0
Barbados,6,0,0,0
Belarus,1,1.905,0,0
Belgium,5,39.863,2.31,19.673
Belize,6,0,0,0
Benin,4,0,0,0
Bhutan,4,1.296,0,0
Bolivia,5,0.257,0,0
Bosnia and Herzegovina,5,7.925,0,0
Botswana,6,0,0,0
Brazil,6,0.809,2.41,0
Brunei,6,6.857,0,0
Bulgaria,5,4.749,0,0
Burkina Faso,4,0.335,0,0
Burundi,1,0,0,0
Cambodia,4,0.837,0,0
Cameroon,6,0.264,0,0
Canada,5,3.789,2.53,0
Cape Verde,4,1.799,0,0
Central African Republic,1,0.414,0,0
Chad,4,0,0,0
Chile,6,10.253,2.43,0
China,5,0.065,0.64,0
Colombia,6,0.983,1.88,0
Comoros,2,0,0,0
Congo,1,0,0,0
Costa Rica,6,3.926,0,0
Cote d'Ivoire,6,0,0,0
Croatia,6,5.603,2.38,0
Cuba,4,0.441,0,0
Cyprus,6,0,0,0
Czechia,5,12.98,2.21,1.401
Democratic Republic of Congo,6,0.045,0,0
Denmark,5,19.336,1.39,6.388
Djibouti,4,0,0,0
Dominica,2,0,0,0
Dominican Republic,5,3.503,0,0
Ecuador,5,9.522,2.95,0
Egypt,4,0.283,1.5,0
El Salvador,6,0,0,0
Equatorial Guinea,2,0,0,0
Eritrea,1,0,0,0
Estonia,6,12.061,1.34,1.508
Eswatini,6,0,0,0
Ethiopia,4,0.026,0,0
Fiji,5,0,0,0
Finland,6,9.024,1.5,0
France,5,27.392,2.12,19.87
Gabon,6,0.899,0,0
Gambia,6,0,0,0
Georgia,6,0.752,0,0
Germany,5,54.044,2.36,0
Ghana,6,0.161,0,0
Greece,6,7.387,1.3,0
Grenada,2,0,0,0
