country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,3,0.051,0,1.824
Albania,6,1.39,0,59.42
Algeria,7,0.182,0,5.77
Andorra,0,25.885,0,3869.799
Angola,3,0.03,0,3.712
Antigua and Barbuda,3,0,0,0
Argentina,4,7.036,0,210.728
Armenia,2,2.025,0,124.864
Australia,3,0.039,0,0.98
Austria,5,0.444,10.77,108.7
Azerbaijan,7,0,0,12.033
Bahamas,4,2.543,0,216.149
Bahrain,4,2.938,0,196.288
Bangladesh,7,0.188,0,8.938
Barbados,3,0,0,0
Belarus,6,0.529,0,49.104
Belgium,4,1.726,23.124,312.521
Belize,5,0,0,95.568
Benin,3,0,0,0
Bhutan,3,0,0,0
Bolivia,7,1.542,0,10.366
Bosnia and Herzegovina,6,2.438,0,57.912
Botswana,2,0.85,0,125.87
Brazil,6,0.946,0,39.655
Brunei,3,0,0,0
Bulgaria,5,3.31,9.355,84.479
Burkina Faso,3,0.096,0,1.1
Burundi,3,0,0,0.084
Cambodia,3,0,0,0
Cameroon,3,0,0,0
Canada,1,0.371,0,25.833
Cape Verde,2,0,0,149.284
Central African Republic,3,0,0,0
Chad,3,0,0,0.244
Chile,5,3.034,0,76.427
China,3,0,0,0.013
Colombia,2,2.968,0,152.664
Comoros,3,0,0,0
Congo,3,0,0,0
Costa Rica,8,6.282,0,350.208
Cote d'Ivoire,3,0,0,0.038
Croatia,6,0.731,0,44.09
Cuba,3,0,0,1.942
Cyprus,6,0,0,46.809
Czechia,8,5.976,43.608,402.559
Democratic Republic of Congo,3,0,0,0.19
Denmark,6,0.345,3.28,67.159
Djibouti,3,0,0,3.036
Dominica,3,0,0,0
Dominican Republic,1,0.553,0,33.739
Ecuador,7,1.53,0,15.984
Egypt,3,0.098,0,1.29
El Salvador,3,0.617,0,0
Equatorial Guinea,3,0,0,2.138
Eritrea,3,0,0,0
Estonia,7,0,3.769,13.569
Eswatini,7,0,0,12.067
Ethiopia,7,0.122,0,7.315
Fiji,3,0,0,0
Finland,1,0,1.805,38.623
France,8,1.563,23.578,668.924
Gabon,7,0,0,11.232
Gambia,3,0.414,0,1.655
Georgia,2,2.005,0,119.824
Germany,5,0.167,0,78.07
Ghana,3,0.064,0,0.805
Greece,1,0.672,0,28.207
Grenada,7,0,0,8.887
Guatemala,7,0.167,0,6.196
Guinea,3,0.076,0,3.046
Guinea-Bissau,3,0.508,0,2.033
Guyana,6,1.271,0,66.111
Haiti,3,0,0,0
