country,cluster,new_cases_per_million,new_deaths_per_million,icu_patients_per_million
Afghanistan,5,0.026,0,0.899
Albania,4,1.39,0,41.699
Algeria,0,0.296,0,12.679
Andorra,5,0,0,0
Angola,5,0.061,0,0.487
Antigua and Barbuda,5,0,0,0
Argentina,2,1.173,0,115.962
Armenia,2,3.712,0,98.204
Australia,6,0.275,0,24.118
Austria,0,0,2.11,9.105
Azerbaijan,6,0.592,0,27.517
Bahamas,2,0,0,63.573
Bahrain,2,0,0,122.239
Bangladesh,0,0.128,0,13.352
Barbados,4,0,0,41.758
Belarus,0,0.423,0,14.604
Belgium,4,0.345,4.832,56.171
Belize,6,0,0,20.12
Benin,5,0,0,0
Bhutan,5,0,0,1.296
Bolivia,1,7.453,0,171.678
Bosnia and Herzegovina,5,0,0,0
Botswana,5,0,0,0
Brazil,1,5.119,0,213.55
Brunei,5,0,0,0
Bulgaria,6,0.288,6.045,21.012
Burkina Faso,5,0,0,1.77
Burundi,5,0,0,0.673
Cambodia,5,0,0,0.06
Cameroon,5,0,0,0
Canada,3,0.159,0,6.412
Cape Verde,4,1.799,0,52.159
Central African Republic,5,0,0,1.242
Chad,5,0,0,0
Chile,2,3.976,0,104.152
China,5,0.004,0,0.12
Colombia,1,4.422,0,209.756
Comoros,0,0,0,9.2
Congo,5,0,0,0
Costa Rica,2,0.785,0,72.044
Cote d'Ivoire,5,0,0,2.35
Croatia,6,0,0,20.705
Cuba,5,0,0,2.207
Cyprus,0,0,0,11.417
Czechia,0,0.093,1.774,11.672
Democratic Republic of Congo,5,0,0,0.156
Denmark,5,0,0.345,0
Djibouti,5,0,0,0
Dominica,5,0,0,0
Dominican Republic,1,0.922,0,162.796
Ecuador,4,1.927,0,49.708
Egypt,5,0.283,0,2.326
El Salvador,2,1.696,0,64.445
Equatorial Guinea,5,0,0,0
Eritrea,5,0,0,0
Estonia,3,0,0.754,6.031
Eswatini,4,1.724,0,49.993
Ethiopia,3,0.087,0,4.08
Fiji,5,0,0,0
Finland,5,0,0,1.985
France,5,0,5.27,0.015
Gabon,2,0.449,0,80.423
Gambia,5,0,0,0
Georgia,5,0,0,0.752
Germany,3,0.084,0,7.233
Ghana,4,0,0,48.692
Greece,0,0,0,10.554
Grenada,5,0,0,0
Guatemala,2,1.954,0,66.423
Guinea,5,0,0,0
Guinea-Bissau,5,0.508,0,0
Guyana,6,0,0,21.613
Haiti,3,0.351,0,3.859
Honduras,2,3.13,0,67.746
Hungary,5,0.104,0,2.174
Iceland,6,0,0,23.443
India,4,0.618,0,39.663
Indonesia,3,0.227,0,5.703
International,5,0,0,0
Iran,6,2.572,0,30.336
Iraq,4,1.591,0,52.085
Ireland,3,0,0.81,8.911
Israel,2,1.617,0,72.208
Italy,3,0.083,0.711,4.879
Jamaica,5,0,0,1.689
Japan,0,0.032,0,12.413
Jordan,5,0,0,1.47
Kazakhstan,5,0,0,0
Kenya,0,0.428,0,13.52
Kosovo,2,4.657,0,115.896
Kuwait,2,1.405,0,114.973
Kyrgyzstan,2,2.912,0,75.718
Laos,5,0,0,0
Latvia,3,0,0,3.711
Lebanon,6,0,0,25.639
Lesotho,4,0.467,0,45.746
Liberia,5,0,0,0.593
Libya,0,0.873,0,10.187
Liechtenstein,5,0,0,0
Lithuania,3,0,0,6.612
Luxembourg,1,3.195,9.585,156.556
Madagascar,0,0.036,0,14.626
Malawi,3,0.314,0,5.646
Malaysia,5,0,0,0.278
Maldives,1,1.85,0,288.599
Mali,5,0,0,0
Malta,4,0,0,47.561
Marshall Islands,5,0,0,0
Mauritania,5,0,0,1.936
Mauritius,5,0,0,0
Mexico,2,6.081,0,74.116
Moldova,2,2.479,0,94.2
Monaco,5,0,0,0
Mongolia,5,0,0,0.61
Montenegro,1,3.184,0,199.025
Morocco,6,0.379,0,18.775
Mozambique,5,0.032,0,1.376
Myanmar,5,0,0,0
Namibia,4,0.394,0,37.388
Nepal,0,0,0,10.811
Netherlands,6,0.058,1.751,25.153
New Zealand,5,0,0,0.622
Nicaragua,5,0,0,0
Niger,5,0,0,0.083
Nigeria,5,0.019,0,1.873
North Macedonia,2,3.36,0,65.759
Norway,5,0,0,2.398
Oman,5,0,0,0
Pakistan,5,0,0,0
Palestine,2,0.196,0,63.316
Panama,1,6.489,0,261.196
Papua New Guinea,5,0,0,2.124
Paraguay,6,0.421,0,20.61
Peru,5,0,0,0
Philippines,4,0.146,0,44.515
Poland,0,0.132,0,17.386
Portugal,6,0.196,3.923,23.341
Qatar,2,0,0,74.972
Romania,2,1.871,20.845,63.677
Russia,4,0.651,0,37.202
Rwanda,5,0,0,1.544
Saint Kitts and Nevis,5,0,0,0
Saint Lucia,5,0,0,0
Saint Vincent and the Grenadines,5,0,0,0
Samoa,5,0,0,0
San Marino,5,0,0,0
Sao Tome and Principe,0,0,0,13.689
Saudi Arabia,4,0.603,0,45.183
Senegal,5,0.239,0,3.106
Serbia,4,1.323,0,48.497
Seychelles,5,0,0,0
Sierra Leone,5,0,0,0
Singapore,4,0,0,52.476
Slovakia,3,0,0,8.242
Slovenia,3,0,2.405,7.215
Solomon Islands,5,0,0,0
Somalia,5,0,0,0
South Africa,1,2.495,0,170.413
South Korea,5,0,0,0.585
South Sudan,5,0,0,2.68
Spain,5,0,0,0
Sri Lanka,5,0,0,0
Sudan,5,0.137,0,2.144
Suriname,1,0,0,187.51
Sweden,6,0.099,0,30.002
Switzerland,6,0,0,20.798
Syria,5,0,0,1.314
Taiwan,5,0,0,0.294
Tajikistan,3,0,0,4.404
Tanzania,5,0,0,0
Thailand,5,0,0,0.029
Timor,5,0,0,0
Togo,5,0,0,2.053
Trinidad and Tobago,5,0,0,2.858
Tunisia,5,0.085,0,1.438
Turkey,0,0.225,0,11.809
Uganda,5,0.022,0,0.481
Ukraine,6,0.366,0,27.553
United Arab Emirates,6,0,0,25.681
United Kingdom,0,0.191,1.355,11.328
United States,1,3.35,31.571,174.739
Uruguay,3,0,0,4.03
Uzbekistan,6,0.179,0,23.126
Vanuatu,5,0,0,0
Vatican,5,0,0,0
Venezuela,6,0.176,0,30.56
Vietnam,5,0,0,0.329
Yemen,5,0.034,0,0.067
Zambia,0,0.762,0,14.415
Zimbabwe,6,0.135,0,32.968
